番号,日本語,英語
1,～を運ぶ,carry
2,～を殺す,kill
3,～をつなぐ,connect
4,減る,decrease
5,増える,increase
6,到着する（r）,reach
7,待つ,wait
8,急ぐ,hurry
9,～を磨く,brush
10,戻る,return
11,賛成する,agree
12,～に思い出させる,remind
13,～だとよくわかる,realize
14,（絵）を描く（p）,paint
15,行動する,act
16,（～と）戦う,fight
17,終わる（e）,end
18,（～を）忘れる,forget
19,意見が異なる,disagree
20,話すの過去分詞,spoken
21,売るの過去形・過去分詞,sold
22,～を置き忘れる、出発するの過去形・過去分詞,left
23,するの過去分詞,done
24,～を見るの過去分詞（s）,seen
25,beの過去分詞,been
26,知るの過去分詞,known
27,～を持ってくるの過去形・過去分詞,brought
28,知るの過去形,knew
29,書くの過去形,wrote
30,（～を）忘れるの過去分詞,forgotten
31,インターネット,internet
32,ゾウ,elephant
33,彼ら自身を［に］,themselves
34,ニュース,news
35,森,forest
36,科学技術,technology
37,方式、システム,system
38,成功,success
39,歯,tooth
40,歯の複数形,teeth
41,理由,reason
42,平和,peace
43,子どもの頃,childhood
44,娘,daughter
45,息子,son
46,教科書,textbook
47,レポート,report
48,世代,generation
49,戦争,war
50,過去,past
51,紙,paper
52,お金,money
53,重要性,importance
54,妻,wife
55,制服,uniform
56,健康,health
57,南の,southern
58,国立の,national
59,～のあちこちを（t）,throughout
60,ひどい、悲惨な,terrible
61,（～より）少なく,less
62,しかしながら,however
63,まだ（～ない）,yet
64,全部,whole
65,忙しい,busy
66,もう、すでに,already
67,これまでに,ever
68,最近（r）,recently
69,そのような,such
70,2回,twice
71,1度、以前,once
72,正しい、正確な（c）,correct
73,～以来、～から,since
74,価値のある,valuable
75,～にもかかわらず,though
76,～だけで、1人で,alone
77,外に,outside
78,外国の,foreign
79,短い,short
80,～でさえ,even
81,～すべきでない,shouldn't
82,～に反対して,against
83,～を…に紹介する②,introduce ～ to ...
84,…から～を作る（元の形と比べない）②,make ～ from ...
85,～するために②,so that ～
86,～より少ない②,less than ～
87,ちょっと待って。③,Wait a minute.
88,どうかしましたか。②,What's wrong?
89,急いで。②,Hurry up.
90,気を付けて。②,Be careful.
91,あんな～、そのような～②,such a ～
92,1度だけ②（j）,just once
93,～に賛成する②,agree with ～
94,～と同じ③,the same as ～
95,どのくらいの間～？②,How long ～?
96,年々③,year by year
97,～を着る②,put on ～
98,～たとえば…②,"～, such as ..."
99,～について考える②,think of ～
100,行動を起こす②,take action
